r,M,ratio,rho,beta,Phi
1,789,0.394500,0.00189058,27.786,0.1685
2,1676,0.838000,0.00048144,109.269,0.4338
3,1927,0.963500,0.000103099,510.445,0.8098
4,1980,0.990000,2.68366e-05,1024.000,1.2707
5,1994,0.997000,7.83587e-06,1024.000,1.7592
6,2000,1.000000,0,0.000,1.7592
