r,M,ratio,sample,Q,rho
1,553,0.276500,79685,621143,0.00232958
2,760,0.380000,79474,622590,0.00370549
3,1032,0.516000,80249,624897,0.00474478
4,1394,0.697000,80138,627862,0.00344821
5,1676,0.838000,79738,630027,0.00197134
6,1804,0.902000,79934,631269,nan
