r,M,ratio,rho,beta,Phi
1,556,0.278000,0.00225434,49.177,0.4132
2,1836,0.918000,0.00023095,480.993,1.1526
3,1974,0.987000,3.29603e-05,1024.000,2.1047
4,1999,0.999500,1.22635e-06,1024.000,3.1029
5,2000,1.000000,0,0.000,3.1029
