r,M,ratio,sample,Q,rho
1,3511,0.867771,164176,1e+06,0.006863
2,3605,0.891003,163719,1.00686e+06,0.00585283
3,3635,0.898418,163765,1.01276e+06,0.0040375
4,3735,0.923134,163924,1.01684e+06,nan
