r,M,ratio,rho,beta,Phi
1,999,0.249750,0.00157924,2.000,0.0977
2,1254,0.313500,0.00275523,2.000,0.1938
3,1744,0.436000,0.00402247,2.000,0.2880
4,2332,0.583000,0.00444315,2.000,0.3816
5,2868,0.717000,0.00380522,2.000,0.4761
6,3225,0.806250,0.00286225,2.000,0.5720
7,3509,0.877250,0.0018807,2.000,0.6693
8,3645,0.911250,0.00142385,2.000,0.7672
9,3781,0.945250,0.000886839,2.000,0.8659
10,3841,0.960250,0.000653747,2.000,0.9650
11,3891,0.972750,0.000445819,2.000,1.0643
12,3940,0.985000,0.000246426,2.000,1.1640
13,3949,0.987250,0.00020941,2.000,1.2637
14,3972,0.993000,0.000114946,2.000,1.3635
15,3979,0.994750,8.61998e-05,2.000,1.4634
16,3984,0.996000,6.56704e-05,2.000,1.5633
17,3990,0.997500,4.10413e-05,2.000,1.6632
18,3993,0.998250,2.87277e-05,2.000,1.7632
19,3996,0.999000,1.64154e-05,2.000,1.8632
20,4000,1.000000,0,0.000,1.8632
