r,M,ratio,rho,beta,Phi
1,999,0.249750,0.00157924,70.246,0.4637
2,3748,0.937000,0.000119539,929.384,1.2979
3,3976,0.994000,1.02474e-05,1024.000,2.2828
4,3999,0.999750,4.22547e-07,1024.000,3.2822
5,4000,1.000000,0,0.000,3.2822
