r,M,ratio,rho,beta,Phi
1,3865,0.954085,0.001561,2.000,0.0477
2,3870,0.955320,0.000942529,2.000,0.0964
3,3932,0.970625,0.00116907,2.000,0.1447
4,3942,0.973093,0.00110494,2.000,0.1931
5,3969,0.979758,0.000731499,2.000,0.2421
6,3969,0.979758,0.000421672,2.000,0.2914
7,3987,0.984201,0.00033302,2.000,0.3410
8,3999,0.987164,0.000895377,2.000,0.3897
9,4005,0.988645,0.000482535,2.000,0.4390
10,4011,0.990126,0.000536884,2.000,0.4882
11,4022,0.992841,0.000182502,2.000,0.5379
12,4020,0.992348,0.000547406,2.000,0.5872
13,4024,0.993335,0.00164528,2.000,0.6348
14,4030,0.994816,0.00036117,2.000,0.6843
15,4032,0.995310,0.000271027,2.000,0.7339
16,4039,0.997038,9.29549e-05,2.000,0.7837
17,4035,0.996050,0.000287738,2.000,0.8333
18,4038,0.996791,9.88506e-05,2.000,0.8832
19,4041,0.997531,0.000150238,2.000,0.9330
20,4042,0.997778,0.000205558,2.000,0.9827
21,4044,0.998272,0.000180814,2.000,1.0324
22,4046,0.998766,0.00015806,2.000,1.0822
23,4045,0.998519,0.000111613,2.000,1.1320
24,4048,0.999259,0.000114563,2.000,1.1819
25,4047,0.999013,6.51749e-05,2.000,1.2318
26,4049,0.999506,0.000171814,2.000,1.2815
27,4048,0.999259,0.000124395,2.000,1.3313
28,4046,0.998766,0.00010365,2.000,1.3812
29,4047,0.999013,0.000148056,2.000,1.4310
30,4049,0.999506,8.88204e-05,2.000,1.4808
31,4049,0.999506,0.000105588,2.000,1.5307
32,4050,0.999753,6.80824e-05,2.000,1.5806
33,4050,0.999753,6.31446e-05,2.000,1.6305
34,4051,1.000000,9.07646e-05,2.000,1.6804
35,4049,0.999506,7.29997e-05,2.000,1.7303
36,4050,0.999753,7.29944e-05,2.000,1.7802
37,4048,0.999259,9.56748e-05,2.000,1.8300
38,4048,0.999259,7.98858e-05,2.000,1.8799
39,4049,0.999506,7.59347e-05,2.000,1.9298
40,4051,1.000000,8.57898e-05,2.000,1.9797
41,4051,1.000000,1.67621e-05,2.000,2.0296
42,4051,1.000000,7.78931e-05,2.000,2.0795
43,4050,0.999753,0.000126197,2.000,2.1293
44,4051,1.000000,6.60478e-05,2.000,2.1793
45,4050,0.999753,4.33718e-05,2.000,2.2292
46,4051,1.000000,6.60406e-05,2.000,2.2791
47,4051,1.000000,8.47629e-05,2.000,2.3290
48,4051,1.000000,3.64647e-05,2.000,2.3789
49,4051,1.000000,5.42023e-05,2.000,2.4288
50,4050,0.999753,6.70101e-05,2.000,2.4787
51,4049,0.999506,8.08008e-05,2.000,2.5286
52,4050,0.999753,6.60149e-05,2.000,2.5785
53,4051,1.000000,5.32025e-05,2.000,2.6285
54,4051,1.000000,7.09329e-05,2.000,2.6784
55,4049,0.999506,7.28981e-05,2.000,2.7283
56,4051,1.000000,7.48628e-05,2.000,2.7781
57,4051,1.000000,4.13685e-05,2.000,2.8281
58,4051,1.000000,0.000111296,2.000,2.8779
59,4051,1.000000,1.77266e-05,2.000,2.9279
60,4050,0.999753,7.28749e-05,2.000,2.9778
61,4050,0.999753,2.16639e-05,2.000,3.0278
62,4051,1.000000,6.99139e-05,2.000,3.0777
63,4051,1.000000,5.1201e-05,2.000,3.1276
64,4051,1.000000,3.24913e-05,2.000,3.1775
65,4051,1.000000,4.23357e-05,2.000,3.2275
66,4051,1.000000,6.00551e-05,2.000,3.2774
67,4051,1.000000,2.46113e-05,2.000,3.3274
68,4050,0.999753,3.93771e-05,2.000,3.3773
69,4051,1.000000,4.03599e-05,2.000,3.4272
70,4051,1.000000,1.08278e-05,2.000,3.4772
71,4051,1.000000,7.8747e-06,2.000,3.5272
72,4051,1.000000,1.96866e-05,2.000,3.5772
73,4051,1.000000,1.47647e-05,2.000,3.6272
74,4051,1.000000,1.18115e-05,2.000,3.6771
75,4051,1.000000,2.85442e-05,2.000,3.7271
76,4051,1.000000,1.67323e-05,2.000,3.7771
77,4051,1.000000,5.41332e-05,2.000,3.8270
78,4051,1.000000,2.26363e-05,2.000,3.8770
79,4051,1.000000,7.08598e-05,2.000,3.9269
80,4051,1.000000,0,0.000,3.9269
