r,M,ratio,rho,beta,Phi
1,1291,0.322750,0.00142557,2.000,0.0479
2,1679,0.419750,0.00218813,2.000,0.0948
3,2485,0.621250,0.00215714,2.000,0.1417
4,2880,0.720000,0.00191234,2.000,0.1889
5,3260,0.815000,0.0014199,2.000,0.2369
6,3507,0.876750,0.000982975,2.000,0.2855
7,3702,0.925500,0.000606398,2.000,0.3346
8,3792,0.948000,0.000426929,2.000,0.3840
9,3873,0.968250,0.000262293,2.000,0.4336
10,3912,0.978000,0.000183141,2.000,0.4833
11,3926,0.981500,0.000153976,2.000,0.5331
12,3948,0.987000,0.000108183,2.000,0.5830
13,3973,0.993250,5.61659e-05,2.000,0.6329
14,3976,0.994000,4.99224e-05,2.000,0.6828
15,3981,0.995250,3.95199e-05,2.000,0.7327
16,3996,0.999000,8.31966e-06,2.000,0.7827
17,3993,0.998250,1.45593e-05,2.000,0.8327
18,3995,0.998750,1.03993e-05,2.000,0.8827
19,3999,0.999750,2.07985e-06,2.000,0.9327
20,4000,1.000000,0,0.000,0.9327
