r,M,ratio,rho,beta,Phi
53,1988,0.994000,7.40754e-05,2.000,2.6332
54,1985,0.992500,9.25874e-05,2.000,2.6831
55,1987,0.993500,8.0235e-05,2.000,2.7330
56,1984,0.992000,9.87429e-05,2.000,2.7828
57,1986,0.993000,8.63915e-05,2.000,2.8327
58,1986,0.993000,8.6384e-05,2.000,2.8826
59,1990,0.995000,6.16975e-05,2.000,2.9325
60,1984,0.992000,9.871e-05,2.000,2.9823
61,1992,0.996000,4.93501e-05,2.000,3.0323
62,1984,0.992000,9.86954e-05,2.000,3.0821
63,1988,0.994000,7.40142e-05,2.000,3.1320
64,1990,0.995000,6.1674e-05,2.000,3.1819
65,1990,0.995000,6.16702e-05,2.000,3.2319
66,1987,0.993500,8.01663e-05,2.000,3.2817
67,1992,0.996000,4.93291e-05,2.000,3.3317
68,1986,0.993000,8.63217e-05,2.000,3.3815
69,1989,0.994500,6.78183e-05,2.000,3.4314
70,1985,0.992500,9.24733e-05,2.000,3.4813
71,1987,0.993500,8.01361e-05,2.000,3.5312
72,1989,0.994500,6.7802e-05,2.000,3.5811
73,1993,0.996500,4.31438e-05,2.000,3.6310
74,1991,0.995500,5.54682e-05,2.000,3.6810
75,1995,0.997500,3.0814e-05,2.000,3.7309
76,1993,0.996500,4.31382e-05,2.000,3.7808
77,1990,0.995000,6.16234e-05,2.000,3.8308
78,1990,0.995000,6.16196e-05,2.000,3.8807
79,1990,0.995000,6.16158e-05,2.000,3.9306
80,1986,0.993000,8.62568e-05,2.000,3.9805
81,1991,0.995500,5.5446e-05,2.000,4.0304
82,1994,0.997000,3.6962e-05,2.000,4.0803
83,1984,0.992000,9.85616e-05,2.000,4.1302
84,1989,0.994500,6.77544e-05,2.000,4.1801
85,1991,0.995500,5.54317e-05,2.000,4.2300
86,1992,0.996000,4.92699e-05,2.000,4.2799
87,1991,0.995500,5.54259e-05,2.000,4.3299
88,1991,0.995500,5.54228e-05,2.000,4.3798
89,1991,0.995500,5.54197e-05,2.000,4.4297
90,1994,0.997000,3.69444e-05,2.000,4.4796
91,1993,0.996500,4.31003e-05,2.000,4.5296
92,1992,0.996000,4.92553e-05,2.000,4.5795
93,1990,0.995000,6.15661e-05,2.000,4.6294
94,1992,0.996000,4.92499e-05,2.000,4.6793
95,1989,0.994500,6.77152e-05,2.000,4.7292
96,1989,0.994500,6.77106e-05,2.000,4.7791
97,1993,0.996500,4.30857e-05,2.000,4.8291
98,1993,0.996500,4.30838e-05,2.000,4.8790
99,1992,0.996000,4.92365e-05,2.000,4.9290
100,1991,0.995500,5.53884e-05,2.000,4.9789
101,1993,0.996500,4.30775e-05,2.000,5.0288
102,1991,0.995500,5.53829e-05,2.000,5.0787
103,1990,0.995000,6.15332e-05,2.000,5.1286
104,1996,0.998000,2.46117e-05,2.000,5.1786
105,1995,0.997500,3.07639e-05,2.000,5.2286
106,1992,0.996000,4.92208e-05,2.000,5.2785
107,1991,0.995500,5.53706e-05,2.000,5.3284
108,1997,0.998500,1.84559e-05,2.000,5.3784
109,1996,0.998000,2.46074e-05,2.000,5.4283
110,1996,0.998000,2.46068e-05,2.000,5.4783
111,1990,0.995000,6.15154e-05,2.000,5.5282
112,1988,0.994000,7.38139e-05,2.000,5.5781
113,1995,0.997500,3.07535e-05,2.000,5.6281
114,1994,0.997000,3.69031e-05,2.000,5.6780
115,1988,0.994000,7.38035e-05,2.000,5.7279
116,1995,0.997500,3.07492e-05,2.000,5.7779
117,1990,0.995000,6.14965e-05,2.000,5.8278
118,1998,0.999000,1.22985e-05,2.000,5.8778
119,1997,0.998500,1.84476e-05,2.000,5.9277
120,1995,0.997500,3.07454e-05,2.000,5.9777
121,1993,0.996500,4.30422e-05,2.000,6.0276
122,1992,0.996000,4.9189e-05,2.000,6.0776
123,1993,0.996500,4.30383e-05,2.000,6.1275
124,1990,0.995000,6.14806e-05,2.000,6.1774
125,1994,0.997000,3.68861e-05,2.000,6.2274
126,1994,0.997000,3.68847e-05,2.000,6.2773
127,1995,0.997500,3.07361e-05,2.000,6.3273
128,1992,0.996000,4.91763e-05,2.000,6.3772
129,1996,0.998000,2.45869e-05,2.000,6.4272
130,1996,0.998000,2.45863e-05,2.000,6.4771
131,1996,0.998000,2.45857e-05,2.000,6.5271
132,1996,0.998000,2.45851e-05,2.000,6.5770
133,1993,0.996500,4.30229e-05,2.000,6.6270
134,1993,0.996500,4.30211e-05,2.000,6.6769
135,1996,0.998000,2.45824e-05,2.000,6.7269
136,1994,0.997000,3.68727e-05,2.000,6.7768
137,1997,0.998500,1.84357e-05,2.000,6.8268
138,1996,0.998000,2.45804e-05,2.000,6.8768
139,1998,0.999000,1.22899e-05,2.000,6.9268
140,1996,0.998000,2.45795e-05,2.000,6.9767
141,1995,0.997500,3.07237e-05,2.000,7.0267
142,1997,0.998500,1.84336e-05,2.000,7.0766
143,1995,0.997500,3.07222e-05,2.000,7.1266
144,1998,0.999000,1.22885e-05,2.000,7.1766
145,1992,0.996000,4.91533e-05,2.000,7.2265
146,1997,0.998500,1.84316e-05,2.000,7.2765
147,1997,0.998500,1.84313e-05,2.000,7.3265
148,1994,0.997000,3.68618e-05,2.000,7.3764
149,1996,0.998000,2.45736e-05,2.000,7.4264
150,1998,0.999000,1.22865e-05,2.000,7.4764
151,2000,1.000000,0,0.000,7.4764
