r,M,ratio,rho,beta,Phi
1,789,0.394500,0.00189058,2.000,0.0473
2,1099,0.549500,0.00233111,2.000,0.0939
3,1437,0.718500,0.00162923,2.000,0.1416
4,1693,0.846500,0.000962288,2.000,0.1902
5,1855,0.927500,0.00045122,2.000,0.2395
6,1901,0.950500,0.000330126,2.000,0.2891
7,1945,0.972500,0.000226209,2.000,0.3387
8,1968,0.984000,0.00014251,2.000,0.3885
9,1978,0.989000,0.000105319,2.000,0.4384
10,1982,0.991000,9.29184e-05,2.000,0.4882
11,1985,0.992500,8.36188e-05,2.000,0.5381
12,1984,0.992000,9.90954e-05,2.000,0.5880
13,1986,0.993000,8.36035e-05,2.000,0.6379
14,1989,0.994500,6.81157e-05,2.000,0.6878
15,1988,0.994000,7.43029e-05,2.000,0.7376
16,1988,0.994000,7.42974e-05,2.000,0.7875
17,1983,0.991500,0.000105247,2.000,0.8374
18,1989,0.994500,6.80937e-05,2.000,0.8873
19,1990,0.995000,6.18992e-05,2.000,0.9372
20,1981,0.990500,0.000117601,2.000,0.9870
21,1988,0.994000,7.42657e-05,2.000,1.0369
22,1993,0.996500,4.33184e-05,2.000,1.0869
23,1989,0.994500,6.80689e-05,2.000,1.1368
24,1988,0.994000,7.42519e-05,2.000,1.1867
25,1983,0.991500,0.000105182,2.000,1.2365
26,1982,0.991000,0.000111358,2.000,1.2863
27,1985,0.992500,9.27879e-05,2.000,1.3362
28,1985,0.992500,9.27793e-05,2.000,1.3861
29,1988,0.994000,7.42166e-05,2.000,1.4360
30,1982,0.991000,0.000111317,2.000,1.4858
31,1991,0.995500,5.56521e-05,2.000,1.5357
32,1993,0.996500,4.32825e-05,2.000,1.5857
33,1986,0.993000,8.65614e-05,2.000,1.6355
34,1988,0.994000,7.4189e-05,2.000,1.6854
35,1985,0.992500,9.27294e-05,2.000,1.7353
36,1980,0.990000,0.000123628,2.000,1.7851
37,1991,0.995500,5.56256e-05,2.000,1.8350
38,1987,0.993500,8.03436e-05,2.000,1.8849
39,1985,0.992500,9.26967e-05,2.000,1.9348
40,1987,0.993500,8.03297e-05,2.000,1.9847
41,1987,0.993500,8.03233e-05,2.000,2.0346
42,1983,0.991500,0.00010503,2.000,2.0844
43,1986,0.993000,8.6486e-05,2.000,2.1343
44,1986,0.993000,8.64785e-05,2.000,2.1842
45,1987,0.993500,8.02945e-05,2.000,2.2340
46,1989,0.994500,6.7936e-05,2.000,2.2839
47,1985,0.992500,9.26338e-05,2.000,2.3338
48,1985,0.992500,9.26252e-05,2.000,2.3837
49,1988,0.994000,7.40933e-05,2.000,2.4336
50,1993,0.996500,4.32179e-05,2.000,2.4835
51,1990,0.995000,6.17372e-05,2.000,2.5334
52,1990,0.995000,6.17333e-05,2.000,2.5833
